pricing_id,room_id,price,service_fee,effective_from
1,1001254,966 ,193 ,2026-01-25
2,1002102,142 ,28 ,2026-01-25
3,1002403,620 ,124 ,2026-01-25
4,1002755,368 ,74 ,2026-01-25
5,1003689,204 ,41 ,2026-01-25
6,1004098,577 ,115 ,2026-01-25
7,1004650,71 ,14 ,2026-01-25
8,1005202,1060 ,212 ,2026-01-25
9,1005754,1018 ,204 ,2026-01-25
10,1006307,291 ,58 ,2026-01-25
11,1006859,319 ,64 ,2026-01-25
12,1007411,606 ,121 ,2026-01-25
13,1007964,714 ,143 ,2026-01-25
14,1008516,580 ,116 ,2026-01-25
15,1009068,149 ,30 ,2026-01-25
16,1009621,578 ,,2026-01-25
17,1010173,778 ,,2026-01-25
18,1010725,656 ,,2026-01-25
19,1011277,460 ,,2026-01-25
20,1011830,1095 ,,2026-01-25
21,1012382,281 ,56 ,2026-01-25
22,1012934,477 ,95 ,2026-01-25
23,1013487,133 ,27 ,2026-01-25
24,1014039,1050 ,210 ,2026-01-25
25,1014591,816 ,163 ,2026-01-25
26,1015144,1175 ,235 ,2026-01-25
27,1015696,530 ,106 ,2026-01-25
28,1016248,274 ,55 ,2026-01-25
29,1016800,209 ,42 ,2026-01-25
30,1017353,432 ,86 ,2026-01-25
31,1017905,666 ,133 ,2026-01-25
32,1018457,770 ,154 ,2026-01-25
33,1019010,512 ,102 ,2026-01-25
34,1019562,858 ,172 ,2026-01-25
35,1020114,545 ,109 ,2026-01-25
36,1020667,191 ,38 ,2026-01-25
37,1021219,1111 ,222 ,2026-01-25
38,1021771,203 ,41 ,2026-01-25
39,1022323,1097 ,219 ,2026-01-25
40,1022876,1020 ,204 ,2026-01-25
41,1023428,1010 ,202 ,2026-01-25
42,1023980,563 ,113 ,2026-01-25
43,1024533,370 ,74 ,2026-01-25
44,1025085,687 ,137 ,2026-01-25
45,1025637,856 ,171 ,2026-01-25
46,1026190,62 ,12 ,2026-01-25
47,1026742,435 ,87 ,2026-01-25
48,1027294,916 ,183 ,2026-01-25
49,1027846,459 ,92 ,2026-01-25
50,1028399,363 ,73 ,2026-01-25
51,1028951,212 ,42 ,2026-01-25
52,1029503,728 ,146 ,2026-01-25
53,1030056,901 ,180 ,2026-01-25
54,1030608,335 ,67 ,2026-01-25
55,1031160,254 ,51 ,2026-01-25
56,1031713,903 ,181 ,2026-01-25
57,1032265,439 ,88 ,2026-01-25
58,1032817,1024 ,205 ,2026-01-25
59,1033369,658 ,132 ,2026-01-25
60,1033922,543 ,109 ,2026-01-25
61,1034474,256 ,51 ,2026-01-25
62,1035026,294 ,59 ,2026-01-25
