room_id,number_of_reviews,last_review,reviews_per_month,review_rate_number
1001254,9.0,10/19/2021,0.21,4.0
1002102,45.0,5/21/2022,0.38,4.0
1002403,0.0,,,5.0
1002755,270.0,7/5/2019,4.64,4.0
1003689,9.0,11/19/2018,0.1,3.0
1004098,74.0,6/22/2019,0.59,3.0
1004650,49.0,10/5/2017,0.4,5.0
1005202,49.0,10/5/2017,0.4,5.0
1005754,430.0,6/24/2019,3.47,3.0
1006307,118.0,7/21/2017,0.99,5.0
1006859,160.0,6/9/2019,1.33,3.0
1007411,53.0,6/22/2019,0.43,4.0
1007964,188.0,6/23/2019,1.5,4.0
1008516,167.0,6/24/2019,1.34,4.0
1009068,113.0,7/5/2019,0.91,3.0
1009621,27.0,10/31/2018,0.22,3.0
1010173,148.0,6/29/2019,1.2,3.0
1010725,198.0,6/28/2019,1.72,5.0
1011277,260.0,7/1/2019,2.12,3.0
1011830,53.0,6/22/2019,4.44,5.0
1012382,0.0,,,3.0
1012934,9.0,12/28/2021,0.07,3.0
1013487,130.0,7/1/2019,1.09,4.0
1014039,39.0,1/1/2019,0.37,3.0
1014591,71.0,7/2/2019,0.61,4.0
1015144,88.0,6/19/2019,0.73,4.0
1015696,19.0,6/23/2019,1.37,5.0
1016248,0.0,,,
1016800,58.0,8/13/2017,0.49,
1017353,108.0,6/15/2019,1.11,
1017905,29.0,4/19/2019,0.24,
1018457,242.0,6/1/2019,2.04,
1019010,88.0,6/14/2019,1.42,
1019562,197.0,6/15/2019,1.65,
1020114,273.0,7/1/2019,2.37,
1020667,74.0,5/12/2019,0.66,
1021219,168.0,6/21/2019,1.41,
1021771,0.0,,,
1022323,231.0,6/22/2019,1.96,3.0
1022876,0.0,,,3.0
1023428,214.0,7/5/2019,1.81,5.0
1023980,245.0,6/21/2019,2.08,3.0
1024533,15.0,5/27/2019,0.39,2.0
1025085,25.0,9/30/2018,0.23,1.0
1025637,81.0,6/16/2019,0.69,3.0
1026190,97.0,6/13/2019,0.84,
1026742,11.0,6/5/2019,0.49,
1027294,248.0,7/1/2019,2.25,
1027846,61.0,5/25/2019,0.52,
1028399,11.0,1/1/2017,0.1,1.0
1028951,135.0,6/17/2019,1.16,1.0
1029503,112.0,6/16/2019,1.01,2.0
1030056,73.0,7/7/2019,0.63,3.0
1030608,82.0,5/17/2019,0.7,2.0
1031160,328.0,6/29/2019,2.82,5.0
1031713,19.0,3/25/2019,0.22,5.0
1032265,105.0,6/22/2019,0.9,5.0
1032817,19.0,5/18/2019,0.17,4.0
1033369,289.0,6/9/2019,2.49,3.0
1033922,138.0,6/4/2019,1.19,1.0
1034474,21.0,6/29/2019,0.3,5.0
1035026,42.0,6/30/2019,0.38,3.0
1035579,5.0,11/3/2018,0.12,2.0
1036131,66.0,3/30/2019,0.57,5.0
1036683,143.0,1/26/2019,1.33,1.0
1037236,27.0,9/30/2017,0.23,2.0
1037788,191.0,,1.65,1.0
1038340,4.0,9/24/2017,0.16,3.0
1038892,338.0,7/1/2019,4.72,3.0
1039445,148.0,6/23/2019,1.4,1.0
1039997,106.0,6/21/2019,1.26,3.0
1040549,190.0,6/23/2019,1.64,4.0
1041102,49.0,5/14/2018,0.43,3.0
1041654,23.0,6/1/2019,0.43,3.0
1042206,49.0,6/18/2019,1.6,2.0
1042759,105.0,6/26/2019,0.92,1.0
1043311,21.0,1/2/2019,0.2,4.0
1043863,142.0,7/6/2019,1.5,4.0
1044415,25.0,,0.22,2.0
1044968,143.0,6/16/2019,1.28,2.0
1045520,167.0,5/28/2019,1.65,4.0
1046072,61.0,4/22/2019,0.54,3.0
1046625,54.0,3/23/2019,0.49,3.0
1047177,70.0,,0.62,4.0
1047729,16.0,6/15/2019,0.15,4.0
1048282,94.0,4/8/2019,0.84,3.0
1048834,25.0,8/4/2016,0.24,3.0
1049386,61.0,8/9/2018,0.53,4.0
1049938,194.0,6/30/2019,1.73,2.0
1050491,2.0,2/14/2016,0.05,5.0
1051043,174.0,6/22/2019,1.54,5.0
1051595,24.0,,0.28,5.0
1052148,166.0,6/27/2019,3.4,2.0
1052700,16.0,5/31/2019,0.2,
1053252,21.0,5/21/2019,0.3,
1053805,168.0,7/22/2018,1.57,
1054357,118.0,6/18/2019,1.05,
1054909,,7/7/2019,0.71,
1055461,1.0,10/9/2018,0.11,
1056014,30.0,5/1/2019,0.27,
1056566,139.0,10/28/2018,1.23,
1057118,11.0,,0.87,
1057671,233.0,6/24/2019,2.09,
1058223,68.0,1/2/2022,0.6,
1058775,46.0,5/18/2019,0.55,2.0
1059328,335.0,5/29/2019,3.02,1.0
1059880,88.0,11/2/2018,0.79,2.0
1060432,162.0,6/28/2019,1.46,3.0
1060984,29.0,5/26/2018,0.4,1.0
1061537,170.0,6/23/2019,1.61,1.0
1062089,19.0,3/17/2017,0.2,2.0
1062641,334.0,6/16/2019,3.0,1.0
1063194,19.0,6/2/2019,0.2,4.0
1063746,12.0,,0.13,5.0
1064298,467.0,12/30/2018,4.22,3.0
1064851,7.0,8/9/2017,0.06,5.0
1065403,38.0,12/2/2015,0.38,3.0
1065955,324.0,6/23/2019,3.01,
1066507,27.0,4/27/2019,0.27,
1067060,115.0,6/7/2019,1.05,
1067612,354.0,5/20/2019,3.2,
1068164,195.0,7/1/2019,2.03,
1068717,16.0,12/30/2018,0.24,
1069269,13.0,6/26/2019,0.12,
1069821,25.0,12/10/2021,0.23,1.0
1070374,9.0,10/5/2018,0.08,4.0
1070926,9.0,9/18/2021,0.08,4.0
1071478,21.0,8/15/2024,0.19,4.0
1072030,36.0,8/17/2017,0.33,5.0
1072583,63.0,5/14/2019,0.58,1.0
1073135,155.0,6/20/2019,1.42,3.0
1073687,260.0,7/3/2019,2.35,4.0
1074240,73.0,6/25/2019,0.66,4.0
1074792,193.0,5/20/2019,1.86,2.0
1075344,32.0,6/14/2019,0.29,5.0
1075897,50.0,5/26/2019,0.45,2.0
1076449,26.0,7/1/2019,0.25,5.0
1077001,2.0,1/1/2019,0.02,4.0
1077553,426.0,6/24/2019,3.89,3.0
1078106,227.0,6/23/2019,2.09,5.0
1078658,84.0,,0.77,2.0
1079210,,,0.03,4.0
1079763,10.0,,0.1,5.0
1080315,4.0,,0.04,3.0
1080867,1.0,,0.01,4.0
1081420,124.0,,1.72,2.0
1081972,11.0,7/2/2019,0.11,3.0
1082524,240.0,6/17/2019,2.19,3.0
1083076,30.0,6/17/2019,0.28,5.0
1083629,200.0,6/22/2019,1.86,5.0
1084181,27.0,6/29/2019,1.05,4.0
1084733,79.0,6/22/2019,0.74,3.0
1085286,9.0,5/10/2013,0.09,2.0
1085838,155.0,6/13/2019,1.61,2.0
1086390,4.0,8/27/2018,0.05,3.0
1086943,34.0,,0.32,5.0
1087495,134.0,,1.24,3.0
1088047,27.0,,0.25,3.0
1088599,126.0,,1.16,1.0
1089152,23.0,,0.27,2.0
1089704,234.0,6/8/2019,2.6,5.0
1090256,202.0,5/28/2019,1.86,5.0
1090809,28.0,4/12/2019,0.26,1.0
1091361,309.0,6/22/2019,,4.0
1091913,14.0,4/25/2021,,2.0
1092466,4.0,9/23/2016,,1.0
1093018,80.0,7/6/2019,,2.0
1093570,2.0,11/2/2015,,4.0
1094122,294.0,6/24/2019,,3.0
1094675,150.0,6/18/2019,1.4,5.0
1095227,166.0,6/13/2019,1.66,4.0
1095779,47.0,6/19/2019,0.94,5.0
1096332,219.0,7/4/2019,2.04,1.0
1096884,193.0,7/6/2016,1.78,4.0
1097436,84.0,6/23/2019,0.78,4.0
1097989,114.0,6/20/2019,1.06,4.0
1098541,213.0,6/24/2019,2.0,5.0
1099093,86.0,6/1/2019,0.8,1.0
1099645,80.0,5/26/2019,0.75,2.0
1100198,38.0,4/20/2016,0.36,1.0
1100750,18.0,12/17/2018,1.79,3.0
1101302,206.0,6/30/2019,1.92,4.0
1101855,10.0,5/12/2019,0.11,4.0
1102407,122.0,5/14/2019,1.18,4.0
1102959,33.0,4/8/2019,0.58,4.0
1103512,52.0,6/5/2019,0.5,4.0
1104064,126.0,5/19/2019,1.17,
1104616,51.0,6/24/2019,0.48,
1105168,199.0,6/24/2019,1.85,
1105721,30.0,3/2/2022,0.29,
1106273,3.0,7/17/2015,0.03,
1106825,41.0,6/26/2025,0.38,2.0
1107378,109.0,6/15/2019,1.04,2.0
1107930,151.0,6/22/2019,1.43,4.0
1108482,0.0,,,1.0
1109035,285.0,6/22/2019,2.69,1.0
1109587,375.0,6/18/2019,3.52,3.0
1110139,52.0,5/20/2019,0.49,2.0
1110691,10.0,7/1/2019,1.01,3.0
1111244,11.0,11/13/2017,0.48,3.0
1111796,33.0,5/9/2015,0.31,4.0
1112348,6.0,10/8/2015,0.06,3.0
1112901,38.0,4/27/2019,0.38,4.0
1113453,358.0,6/20/2019,3.44,3.0
1114005,10.0,1/7/2014,0.09,1.0
1114558,0.0,,,1.0
1115110,226.0,6/6/2019,2.12,4.0
1115662,104.0,6/22/2019,1.0,1.0
1116214,138.0,6/30/2019,1.45,1.0
1116767,204.0,6/23/2019,1.92,1.0
1117319,253.0,7/2/2019,3.04,3.0
1117871,23.0,7/1/2019,0.22,5.0
1118424,115.0,12/5/2018,1.17,2.0
1118976,129.0,5/19/2019,,2.0
1119528,82.0,6/10/2019,,4.0
1120081,37.0,12/31/2018,0.35,1.0
1120633,204.0,7/1/2019,2.04,5.0
1121185,69.0,6/13/2019,0.65,2.0
1121737,192.0,,1.84,5.0
1122290,17.0,,0.16,3.0
1122842,222.0,,2.12,2.0
1123394,205.0,6/23/2019,1.96,4.0
1123947,94.0,6/9/2019,0.96,5.0
1124499,7.0,5/24/2019,0.07,3.0
1125051,108.0,6/30/2019,1.09,2.0
1125604,222.0,6/26/2019,2.1,5.0
1126156,458.0,7/3/2019,4.58,4.0
1126708,21.0,5/17/2019,0.26,1.0
1127260,17.0,5/8/2019,0.3,4.0
1127813,41.0,1/2/2019,0.39,3.0
1128365,1.0,4/3/2022,0.01,5.0
1128917,69.0,5/19/2019,0.67,5.0
1129470,18.0,7/1/2019,0.18,5.0
1130022,82.0,1/5/2016,0.78,1.0
1130574,94.0,6/23/2019,0.99,1.0
1131127,10.0,5/11/2019,0.1,4.0
1131679,183.0,9/29/2018,1.83,2.0
1132231,189.0,6/11/2019,1.82,3.0
1132783,1.0,10/7/2018,0.11,4.0
1133336,127.0,6/20/2019,1.22,4.0
1133888,4.0,8/25/2017,0.04,3.0
1134440,135.0,6/20/2019,1.3,1.0
1134993,21.0,12/12/2015,0.2,5.0
1135545,35.0,7/27/2017,0.34,1.0
1136097,10.0,6/1/2019,2.21,3.0
1136650,171.0,6/23/2019,1.8,5.0
1137202,92.0,4/30/2019,0.9,1.0
1137754,238.0,6/14/2019,2.3,
1138306,56.0,5/26/2019,0.58,
1138859,111.0,,2.13,
1139411,193.0,,,
1139963,147.0,,,
1140516,177.0,,,
1141068,185.0,5/24/2019,,4.0
1141620,62.0,6/21/2019,,2.0
1142173,124.0,6/16/2058,1.22,4.0
1142725,181.0,6/23/2019,1.77,1.0
1143277,333.0,7/2/2019,3.19,5.0
1143829,441.0,6/24/2019,4.5,5.0
1144382,45.0,5/16/2019,0.46,4.0
1144934,9.0,8/29/2016,0.09,5.0
1145486,0.0,,,1.0
1146039,38.0,6/27/2019,0.5,4.0
1146591,248.0,6/25/2019,2.39,4.0
1147143,143.0,6/19/2019,1.38,1.0
1147696,36.0,8/19/2018,0.41,5.0
1148248,0.0,,,
1148800,14.0,1/7/2019,0.14,
1149352,0.0,,,
1149905,279.0,6/24/2019,2.69,
1150457,18.0,1/2/2019,0.22,
1151009,50.0,5/26/2019,3.55,3.0
1151562,227.0,6/27/2019,2.27,2.0
1152114,1.0,1/2/2019,0.16,2.0
1152666,203.0,6/23/2019,1.96,3.0
1153219,210.0,7/6/2019,2.1,2.0
1153771,64.0,1/5/2019,0.67,5.0
1154323,0.0,,,2.0
1154875,5.0,1/3/2019,0.15,4.0
1155428,49.0,6/29/2019,0.48,1.0
1155980,132.0,7/7/2019,1.27,5.0
1156532,20.0,1/2/2019,0.26,3.0
1157085,11.0,5/2/2013,0.11,5.0
1157637,51.0,7/1/2019,0.57,4.0
1158189,15.0,6/30/2019,0.15,5.0
1158742,67.0,6/25/2019,1.31,2.0
1159294,109.0,6/23/2019,1.11,4.0
1159846,9.0,2/16/2019,0.11,4.0
1160398,187.0,6/23/2019,1.87,2.0
1160951,214.0,6/23/2019,2.08,4.0
1161503,69.0,7/1/2019,0.79,3.0
1162055,22.0,6/15/2019,0.26,2.0
1162608,56.0,5/6/2019,0.56,3.0
1163160,93.0,6/22/2019,0.93,5.0
1163712,104.0,6/25/2019,1.05,2.0
1164265,64.0,7/6/2018,0.68,1.0
1164817,127.0,6/24/2019,1.25,1.0
1165369,30.0,6/13/2019,0.32,4.0
1165921,106.0,6/27/2019,1.34,5.0
1166474,6.0,11/13/2016,0.1,4.0
1167026,191.0,6/20/2019,1.88,2.0
1167578,48.0,6/11/2019,0.55,3.0
1168131,47.0,6/29/2019,0.49,3.0
1168683,120.0,6/30/2019,1.27,4.0
1169235,52.0,1/10/2019,0.63,4.0
1169788,48.0,6/16/2019,0.48,4.0
1170340,32.0,5/24/2019,0.43,1.0
1170892,43.0,6/17/2019,0.42,5.0
1171444,39.0,6/25/2019,0.44,2.0
1171997,50.0,5/13/2014,0.5,4.0
1172549,4.0,1/2/2019,0.35,5.0
1173101,38.0,2/15/2019,0.39,3.0
1173654,29.0,6/16/2019,0.36,1.0
1174206,59.0,6/23/2019,0.6,3.0
1174758,68.0,6/7/2019,0.67,3.0
1175311,26.0,11/25/2015,0.27,5.0
1175863,31.0,3/1/2022,0.31,5.0
1176415,198.0,5/31/2019,2.01,1.0
1176967,1.0,3/28/2026,0.01,3.0
1177520,220.0,6/22/2019,2.17,3.0
1178072,286.0,6/27/2019,2.81,1.0
1178624,398.0,6/28/2019,3.97,5.0
